,0
0,bu
1,pa
2,da
3,ta
4,ti
5,du
6,pi
7,tu
8,bi
9,di
10,ba
11,pu
12,bu
13,pa
14,da
15,di
16,ba
17,pu
18,pi
19,tu
20,bi
21,ta
22,ti
23,du
24,bu
25,pa
26,da
27,pi
28,tu
29,bi
30,bu
31,pa
32,da
33,pi
34,tu
35,bi
36,bu
37,pa
38,da
39,di
40,ba
41,pu
42,bu
43,pa
44,da
45,ta
46,ti
47,du
48,bu
49,pa
50,da
51,ta
52,ti
53,du
54,di
55,ba
56,pu
57,ta
58,ti
59,du
60,di
61,ba
62,pu
63,ta
64,ti
65,du
66,pi
67,tu
68,bi
69,ta
70,ti
71,du
72,di
73,ba
74,pu
75,bu
76,pa
77,da
78,di
79,ba
80,pu
81,ta
82,ti
83,du
84,di
85,ba
86,pu
87,bu
88,pa
89,da
90,di
91,ba
92,pu
93,ta
94,ti
95,du
96,pi
97,tu
98,bi
99,di
100,ba
101,pu
102,pi
103,tu
104,bi
105,ta
106,ti
107,du
108,di
109,ba
110,pu
111,bu
112,pa
113,da
114,pi
115,tu
116,bi
117,di
118,ba
119,pu
120,pi
121,tu
122,bi
123,ta
124,ti
125,du
126,pi
127,tu
128,bi
129,bu
130,pa
131,da
132,di
133,ba
134,pu
135,pi
136,tu
137,bi
138,di
139,ba
140,pu
141,ta
142,ti
143,du
144,bu
145,pa
146,da
147,pi
148,tu
149,bi
150,di
151,ba
152,pu
153,bu
154,pa
155,da
156,pi
157,tu
158,bi
159,di
160,ba
161,pu
162,bu
163,pa
164,da
165,pi
166,tu
167,bi
168,ta
169,ti
170,du
171,bu
172,pa
173,da
174,pi
175,tu
176,bi
177,bu
178,pa
179,da
180,ta
181,ti
182,du
183,pi
184,tu
185,bi
186,di
187,ba
188,pu
189,pi
190,tu
191,bi
192,ta
193,ti
194,du
195,di
196,ba
197,pu
198,bu
199,pa
200,da
201,di
202,ba
203,pu
204,ta
205,ti
206,du
207,pi
208,tu
209,bi
210,ta
211,ti
212,du
213,pi
214,tu
215,bi
216,di
217,ba
218,pu
219,bu
220,pa
221,da
222,di
223,ba
224,pu
225,ta
226,ti
227,du
228,bu
229,pa
230,da
231,pi
232,tu
233,bi
234,ta
235,ti
236,du
237,di
238,ba
239,pu
240,pi
241,tu
242,bi
243,di
244,ba
245,pu
246,bu
247,pa
248,da
249,pi
250,tu
251,bi
252,bu
253,pa
254,da
255,pi
256,tu
257,bi
258,ta
259,ti
260,du
261,pi
262,tu
263,bi
264,bu
265,pa
266,da
267,ta
268,ti
269,du
270,di
271,ba
272,pu
273,pi
274,tu
275,bi
276,bu
277,pa
278,da
279,di
280,ba
281,pu
282,pi
283,tu
284,bi
285,bu
286,pa
287,da
288,di
289,ba
290,pu
291,pi
292,tu
293,bi
294,ta
295,ti
296,du
297,di
298,ba
299,pu
300,ta
301,ti
302,du
303,bu
304,pa
305,da
306,ta
307,ti
308,du
309,pi
310,tu
311,bi
312,bu
313,pa
314,da
315,ta
316,ti
317,du
318,bu
319,pa
320,da
321,di
322,ba
323,pu
324,pi
325,tu
326,bi
327,di
328,ba
329,pu
330,bu
331,pa
332,da
333,ta
334,ti
335,du
336,bu
337,pa
338,da
339,di
340,ba
341,pu
342,ta
343,ti
344,du
345,di
346,ba
347,pu
348,ta
349,ti
350,du
351,pi
352,tu
353,bi
354,bu
355,pa
356,da
357,ta
358,ti
359,du
360,bu
361,pa
362,da
363,pi
364,tu
365,bi
366,di
367,ba
368,pu
369,ta
370,ti
371,du
372,di
373,ba
374,pu
375,pi
376,tu
377,bi
378,ta
379,ti
380,du
381,bu
382,pa
383,da
384,ta
385,ti
386,du
387,bu
388,pa
389,da
390,ta
391,ti
392,du
393,pi
394,tu
395,bi
396,bu
397,pa
398,da
